explanation,text
The proverbial saying 'It's better to have loved and lost than never to have loved at all' has a straightforward literal meaning.,It's better to have loved and lost than never to have loved at all
Literal meaning.,It's better to light a candle than curse the darkness
It (the subject under discussion) isn't difficult to understand.,It's not rocket science
The full title of the popular 1940s BBC radio comedy - ITMA.,It's that man again
'Itty-bitty' means very small. It is often used as a form of baby talk to young children when emphasizing the smallness of something. ,Itty-bitty
"A
state of sheltered and unworldly intellectual isolation.",Ivory tower
"A toy consisting of a box containing a figure with a spring, which leaps up when the lid is raised. ",Jack in the box
A man who can turn his hand to many things. ,"Jack of all trades, master of none"
Dancing.,Jack Palancing
"If it is true, as I'm sure it is, that the phrases in a language define a culture's interests and preoccupations then the English-speaking world must be fascinated by people. ",Jack - phrases that include the name Jack
In a very short time; suddenly. ,Jack Robinson - Before you can say 
'Jack tar' is a generic name for a seaman of the British Royal Navy.,Jack tar
"A conspicuously self-assured, carefree and brash young man; a 'chancer'. ",Jack the lad
"'Jam tomorrow' is some pleasant event in the future, which is never likely to materialize.",Jam tomorrow
"'Jeepers-creepers' is used as an expression  of feeling or emotion, especially surprise, excitement, dismay, or exasperation. It is also used for emphasis. ",Jeepers-creepers
If something is 'Jerry built' it is built in a makeshift and insubstantial manner.,Jerry built
Absolutely black.,Jet-black
"'Jiggery-pokery' is deceitful or underhand manipulation, either of physical objects, as in conjuring, or in dishonest trading.",Jiggery-pokery
A corner.,Jimmy Horner
Urinate. Jimmy Riddle = piddle.,Jimmy Riddle
Favouritism where jobs or other benefits are given to friends and acquaintances.,Jobs for the boys
Enlist in the army.,Join the colours
Inextricably linked; inseparable. ,Joined at the hip
,John Heywood - Proverbs collected by
Someone ready and available at the time needed. ,Johnny on the spot
A 'jot or tittle' is a tiny amount. ,Jot or tittle
"Join a growing movement in support of someone or something, often in an opportunist way, when that movement is seen to have become successful.",Jump on the bandwagon
Begin something before preparations for it are complete. ,Jump the gun
To reach the point in a TV series that denotes it is irretrievably past its best by introducing a ridiculous or otherwise unbelievable plot device or characterisation in order to boost ratings. ,Jump the shark
Judgement has not yet been finalised on a particular subject; especially due to information being incomplete. ,Jury is still out
That which is deserved. A reward for what has been done - good or bad. ,Just deserts
A manufacturing/delivery process where a minimum of goods are kept in stock. Items are planned to arrive precisely at the time they are required for use or despatch.,Just in time
"An unauthorized, bogus court. ",Kangaroo court
"The expression 'Katy, bar the door' means take
 precautions; there's trouble ahead.",Katy bar the door
"To keel over is to fall, suddenly and in a heap. ",Keel over
A goodly distance.,Keep a wide berth
Very enthusiastic.,Keen as mustard
To survive. The phrase is most often used specifically to refer to earning sufficient money to keep oneself alive.,Keep body and soul together
Say nothing - especially in circumstances where saying the wrong thing may get you into trouble. ,Keep shtum
To keep a stiff upper lip is to remain resolute and unemotional in the face of adversity. ,Keep a stiff upper lip
"Prevent, either a person or an event, from advancing nearer. ",Keep at bay
Keep it secret. ,Keep it under your hat
Maintain a level of activity in and enthusiasm for a project. ,Keep the ball rolling
"""Keeping up with the Joneses"" is striving to match one's neighbours in spending and social standing. ",Keep up with the Joneses
Remain cheerful in a difficult situation.,Keep your chin up
"Observe the  avoidance of familiarity which is appropriate to one's position. Also, in more recent usage, to remain aloof and detached from another person or situation.",Keep your distance
Be innocent of any wrongdoing; stay out of trouble.,Keep your hands clean 
Be innocent of any wrongdoing; stay out of trouble.,Keep your nose clean 
To keep your nose to the grindstone is to apply yourself conscientiously to your work.,Keep your nose to the grindstone
Be prepared and save your resources until they are needed.,Keep your powder dry
"""Keeping up with the Joneses"" is striving to match one's neighbours in spending and social standing. ",Keeping up with the Joneses
"The skill of ball-juggling - to keep a ball in the air for as long as possible by bouncing it off any part of the body that is allowed in the rules of football, that is, any part except the hands and arms. Typically the ball is kept up using the feet and head. ",Keepy-uppy
"The expression  'a pretty kettle of fish' or 'a fine/nice kettle of fish'  means 'a muddle or awkward state of affairs'. It's the kind of situation that Oliver Hardy was referring to when he told Stan Laurel ""here's another nice mess you've got me into"".",Kettle of fish
Arse.,Khyber pass
'Kick the bucket' is a colloquial expression for 'die'.,Kick the bucket
Wait impatiently to be summoned. ,Kick your heels
Definitely alive; lively and active. ,Kickin' - Alive and 
"This was a graffito, of unknown origin but used predominantly by members of the US and UK military and predominantly during WWII. It was often combined with an earlier cartoon image, known as Chad, although the two aren't related apart from that conjunction. ",Kilroy was here
"
The King James Version of the Bible has been enormously influential in the development of the English language. It ranks with the complete works of Shakespeare and the Oxford English Dictionary as one of the cornerstones of the recorded language. After Shakespeare, the King James, or Authorized, Version of the Bible is the most common source of phrases in English. The King James in question was James I of England and James VI of Scotland. He didn't write the text of course, he merely authorized it, hence the name by which the book is best known in the UK (King James Version, or KJV, being more commonly used in the USA). 

",King James' Version of the Bible
"Publicly retell of one's sexual exploits, often with the aim of revenge or monetary gain. ",Kiss and tell
"Words spoken, on his deathbed, by Admiral Horatio Nelson to Captain Thomas Hardy.",Kiss me Hardy
A collection of things. ,(The whole) kit and caboodle
One's kith and kin are one's friends and relations. ,Kith and kin
"An
automatic response to something.",Knee-jerk reaction
"The expression 'knick-knack' is commonly used to refer to a dainty little trinket or ornament. Previously, it also meant 'a neat trick or sleight of hand'.",Knick-knack
"To get your knickers in a twist it to become unduly agitated or angry. It is almost always expressed as the negative 'don't get your knickers in a twist', used when trying to point out someone's overreaction. ",(Don't get) your knickers in a twist
"A knight in shining armour is a person, usually a man, who comes to the aid of another, usually a woman, in a gallant and courteous manner. ",Knight in shining armour
"A
reversal of fortune or disappointment. Also used in a verb form as to knock-back,
meaning to refuse an offer. Drinkers in a hurry may also knock back their drink, that is, gulp it down. ",Knock back
To beat  severely. ,Knock into a cocked hat 
"To finish work for the day. Alternatively, to work quickly and complete a task - similar to polish off. A third alternative is a slang term meaning to steal. ",Knock off
"This
phrase is used by people who rap their knuckles on a piece of wood hoping to stave off bad luck. In the UK, the phrase 'touch wood' is used - often jokingly by tapping one's head. The phrases are sometimes spoken when a person is already experiencing some good fortune and hope that it will continue - for example ""I've been winning on every race - touch wood"". ",Knock on wood
To 'know the ropes' is to understand how to do something. To be acquainted with all the methods required.,Know the ropes
To be experienced in or knowledgeable about a subject. ,Know your onions
To 'know on which side your bread is buttered' is to be aware of which side of a conflict it is in your interests to be on.,Know which side your bread is buttered
To understand what is happening in changing circumstances and to be able to anticipate the future.,Know which way the wind blows
Get down to work and apply oneself earnestly to it. ,Knuckle down
Give way; give in; submit. ,Knuckle under
To accept the authority of another; to act in a  subservient manner.,Kowtow to
Used to highlight and ridicule snobbish forms of behaviour or speech.,La-di-da
"The good life, full of pleasure and indulgence.",La dolce vita
"Work
    undertaken for the pleasure of it or for the benefit of a loved one.",Labour of love
"In a listless, languid manner; without interest.",Lackadaisical
Euphemism for going to the lavatory.,Ladies' room
Drink induced mayhem.,Lager frenzy
"Prepared for burial. The phrase has also been used to mean 'show something in the best possible light'. There are also reports of its use as meaning 'to criticize or condemn', but I can't confirm that usage.",Laid out in lavender
"A notional place characterized by fantasy, self-absorption and blissful lack of touch with reality.",La-la land
In an unconcerned manner - unaware of the impending catastrophe.,Lamb to the slaughter
"A person or thing that isn't properly able to function, especially one that was previously proficient.",Lame duck
In it's original meaning land-lubber was sailor's term of contempt for a landsman. In more recent years it is a jokey name given to anyone who dislikes sailing or is incompetent in boats.,Land-lubber
The Land of Nod is a mythical  land where we travel to to sleep.,Land of nod - The
To be lantern-jawed is to have a prominent and angular jaw.,Lantern-jawed
Used to highlight and ridicule snobbish forms of behaviour or speech.,Lardy-dardy
"Play the fool, in a childish or careless manner.",Lark about
"An introduction, often on stage, indicating that the person announced last is no less important than those introduced earlier.",Last but not least
The final additional small burden that makes the entirety of one's difficulties unbearable.,Last straw - The 
Here's a list of Latin phrases and sayings that are used in English often enough to have become part of the language.,Latin Phrases
"To laugh coarsely or loudly, especially at the discomfort of others. ",Laugh like a drain
A figure or object of ridicule and laughter.,Laughing-stock
To be  satisfied with one's past success and to consider further   effort unnecessary.,Laurels - rest on one's 
"To lay something on with a trowel is to crudely labour a point, or flatter in an overly generous manner.",Lay it on with a trowel
Fail completely and be considered a flop by the public.,Lead balloon - Go down like a 
A complete certainty.,Lead-pipe cinch
To 'know the ropes' is to understand how to do something. To be acquainted with all the methods required.,Learn the ropes
One's varied interests are kept separate.,Left hand doesn't know what the right hand is doing
Abandoned in a difficult position without help.,Left in the lurch
'A legend in their own lifetime' refers to  a living person of considerable fame. , Legend in one's own lifetime
"The
          proverbial saying 'A leopard cannot change its spots' expresses the notion that things cannot change their innate nature. It is normally used to suggest that  people who have done bad things will always be bad people.",Leopard cannot change its spots - A 
The notion that simplicity and clarity lead to good design. ,Less is more
,Less or fewer?
Encourage many ideas from many sources.,Let a thousand flowers bloom
To 'let bygones be bygones' is to allow the unpleasant things that have happened in the past  be forgotten.,Let bygones be bygones
NO INFORMATION,Let not poor Nelly starve
Do not hold on to your anger for more than one day.,Let not the sun go down on your wrath
"'Without let or hindrance' means freely, without any impediment.",Let or hindrance 
Avoid interfering in a situation which is currently stable.,Let sleeping dogs lie
"To let the cat out of the bag is to disclose a secret, either deliberately or inadvertently.",Let the cat out of the bag
"The origins of many English phrases are unknown. Nevertheless, many people would say that they know the source of this one. It is widely attributed to Marie-Antoinette (1755-93), the Queen consort of Louis XVI. She is supposed to have said this when she was told that the French populace had no bread to eat. ",Let them eat cake
2011 sees the celebration of the 400th anniversary of the publication of the King James Version of the Bible (or Authorized Version). The KJV is a strong contender for the accolade of 'the book that has had more influence on the development of English than any other'.,Let there be light
Behave in a free or uninhibited manner.,Let your hair down
NO INFORMATION,Let's roll
"Fair competition, where no advantage is shown to either side.",Level playing field
"A
 cursory effort, for instance at painting or tidying up. It alludes to the perfunctory washing performed by children.",Lick and a promise
To transform a faulty object or venture into something that works effectively.,Lick into shape
Headlong; at full speed. ,Lickety-split
"Keep
out of sight; bide one's time. ",Lie low
This saying has a literal meaning. It suggests that statisyics can be used to mislead even more than the worst form of untruth.,"Lies, damned lies and statistics"
Life begins to be better in one's middle age. ,Life begins at forty
"The message below contains several false attributions of the origin of some common English phrases. It began circulating on the Internet in April 1999, under the heading of ""Life in the 1500s"". ",Life in the 1500s - folk etymologies
'The life of Riley' is an easy and pleasant life.,Life of Riley
'Beer and skittles' is shorthand for a life of indulgence spent in the pub.,Life's not all beer and skittles
Response to a request to do something that seems too petty to waste valuable time on. ,Life's too short
"To be as fit as a butcher's dog is to be very fit and bouncing with energy. This follows the same pattern as other 'as X as Y' similes, where Y is the the thing which typically displays the property X. For example, 'as cold as ice'.",Like a butcher's dog
In a frenzied manner.,Like a chicken with its head cut off
Irresistibly and dangerously attracted to something or someone.,Like a moth to a flame
This was said by combative UK Labour politician Dennis Healey on being criticized by the mild mannered Tory minister Geoffrey Howe in the UK House of Commons in June 1978. ,Like being savaged by a dead sheep
"An extreme standard of comparison; for example, ""It rained like billy-o; we were all soaked through."". ",Like billy-o
Said of an unpleasant outcome that one has no choice but to accept - one can either endure it willingly or endure it with suffering.,Like it or lump it
Go very fast; in a vigorous manner.,Like the clappers
A lot; as in 'hurts Like the dickens'.,Like the Dickens
'Two peas in a pod' are two identical items or people.,Like two peas in a pod 
'Turkeys voting for Christmas' is used to describe people acting in a way that  is harmful to their own interests. ,Like turkeys voting for Christmas
Cowardly.,Lily-livered
I was told by a private or secret source. ,Little bird told me - A 
"The proverb 'A little knowledge is a dangerous thing' expresses the idea that a small amount of knowledge can mislead people into thinking that they are more expert than they really are, which can lead to mistakes being made.",Little knowledge is a dangerous thing - A 
A euphemistic way of expressing the benefits of sex. ,Little of what you fancy does you good - A 
"This proverbial saying means 'be careful, children are listening'.",Little pitchers have big ears
This phrase is most commonly used as a description of the British soldiers of WWI. ,Lions led by donkeys
"'Live long and prosper' is an
abbreviated version of a traditional Jewish religious blessing. It came to a wider public in the Star Trek TV series, where it was used
there by the character Mr. Spock (actor Leonard Nimoy, himself Jewish) as the
greeting of the Vulcan people.",Live long and prosper
"To beat the living daylights out of someone is to beat them severely, to the point where they lose consciousness. ",Living daylights
Living well; fed by abundant crops. ,Living off the fat of the land
Living after the time you would have expected to have died.,Living on borrowed time
"An exclamation, on drawing others attention to something. Used especially to to announce things that are considered startling or important. The phrase is often written with an exclamation mark. ",Lo and behold
"Nonsense, rubbish. ",Load of cobblers
Nonsense. ,Load of codswallop
Head.,Loaf of bread
A sporting contest between rivals from the same district. Often referring to football (soccer) matches.,Local derby
"Lock, stock and barrel means the whole thing, entire and complete.",Lock stock and barrel
"Old, especially of horses or people.",Long in the tooth
Check that you are clear what is ahead of you before making a decision that you cannot go back on.,Look before you leap
"An unpredictable person or thing, liable to cause damage if not kept in check by others.",Loose cannon
'Loose lips sink ships' was a wartime expression meaning 'unguarded talk may give useful information to the enemy'.,Loose lips sink ships
Lose face - Be humiliated; lose one's reputation.,Lose face
Lose your wits.,Lose your marbles
"This expression is first found in Chaucer's  Merchant's Tale, circa 1405:",Love is blind 
"A reference to homosexual love, although Oscar Wilde
 denied this in his defense of the charge of gross indecency.",Love that dare not speak its name - The
"Feeling euphoric and well-disposed towards those around you - induced by the use of drugs, notably Ecstasy (methylenedioxymethamphetamine).",Loved-up
"'Lovey-dovey' is an affectionate, somewhat childish, name for a sweetheart. More widely, the term is used to describe sentimentally loving behaviour.",Lovey-dovey
"
  A minority group of adherents showing extreme support for a political  movement or a set of beliefs.",Lunatic fringe
A Mackerel sky is a sky that is streaked  with rows of small white  clouds which resemble the pattern of scales on a mackerel's back.,Mackerel sky
"Completely
          mad. This is now commonly understood to mean crazy, although the original meaning is unclear and may have meant annoyed. ",Mad as a hatter
"To be 'as mad as a March hare' is to be completely
              mad.",Mad as a March hare
The expression 'mad dogs and Englishmen go out in the midday sun' refers to the perceived naivety of the English in their disregard for the power of the sun in hot climates.,Mad dogs and Englishmen go out in the midday sun
A literary genre in which magical features and storylines appear and are accepted as everyday reality. ,Magical realism
The most important issue. ,Main chance
Go directly towards.,Make a bee-line for
To make a full disclosure; to confess.,Make a clean breast of it
"As 'pig's ear' - Cockney rhyming slang for beer. 
  As 'in a pig's ear' - an expression of disbelief.
    
    As 
  'make a pig's ear of ' - make a mess or muddle.",Make a pig's ear of
Obtain kudos from apparently willingly doing something that one was in fact couldn't avoid doing. It is also used to mean 'submit with good grace'. ,Make a virtue of necessity
To make an ass of your self is to behave absurdly.,Make an ass of yourself
Act quickly.,Make haste
Make the most of one's opportunities while you have the chance.,Make hay while the sun shines
"The
 'offer' being 'do as I say or I'll kill you'.",Make him an offer he can't refuse
Carry on with what you are doing - it will give me an excuse to behave badly.,Make my day
To state a fact in a way that allows no doubt. To have no objection to.,Make no bones about
Something that makes your hair stand on end is something alarming or frightening.,Make your hair stand on end
Seasickness.,Mal de mer
"A
kindred spirit - someone I can agree with.",Man after my own heart - A 
Physical nourishment is not sufficient for a healthy life; man also has spiritual needs.,Man does not live by bread alone
Literal meaning.,Man who is his own lawyer has a fool for a client - A 
"An animal that performs valuable service to humans, often with reference to dogs. ",A dog is a man's best friend
Literal meaning.,Man's inhumanity to man
Many small amounts accumulate to make a large amount.,Many a little makes a mickle
"Literal meaning, alluding to the variety in qualities of humankind.",Many are called but few are chosen
"Have
many more happy days, especially birthdays.",Many happy returns
A literal meaning; that the truth is often found in comic utterances.,Many a true word is spoken in jest
"March. That means spring is round the corner in the UK and, as is usual here at this time of year, the weather is madly changeable. Yesterday, we had a beautifully sunny spring day; today as I look out of the window I can see nothing but  freezing grey fog.",'March' phrases
"A much vaunted discovery, which later turns out to be illusory or worthless. ",Mare's nest
A euphemism for a sex toy or any device intended to enhance sexual stimulation. ,Marital aid 
The economic factors affecting the price and availability of a commodity or product in a free market ,Market forces
Literal meaning. ,"Marry in haste, repent at leisure"
May you experience much disorder and trouble in your life.,May you live in interesting times
The real thing - not a substitute. ,McCoy - The real
"I'm to blame. The literal translation from the Latin is 'through my own fault'.
Even those who don't speak Latin could probably make a guess that this phrase means 'I am culpable', or words to that effect. ",Mea culpa
"Meat and drink in this phrase has two meanings, which appear to be independent of each other.
 Either, to be a source of support or pleasure or, to be a simple and routine matter.", Meat and drink
"Meat and two vegetables, that is, meat with potatoes and another vegetable, is a traditional English meal.",Meat and two veg.
Arrive at a final decisive contest.,Meet your Waterloo
An imaginary idyllic place where people take sentimental journeys through their memories of  past  experiences. ,Memory lane 
Businessmen/bureaucrats/soldiers and the like who follow convention and the company line. Also called just 'suits'.,Men in suits
Re-establish good relations with people one has disagreed with. ,Mend fences
"A living arrangement comprising three people (not all of the same sex) in a sexual relationship. Alternatively, a sexual liaison between such a group of people. ",MÃ©nage Ã  trois
"This Shakespearian saying expresses the notion that, while we recall well anything done to harm us, we forget quickly the good others do. ",Men's evil manners live in brass; their virtues we write in water
See also: our list of 'Christmas Card Sayings and Expressions'.,Merry Christmas
Methos in one's madness suggests reason behind apparent folly or disorder. ,Method in my madness
"A
wave effect formed when crowds in stadia rise up and down from their seats in
succession.",Mexican wave
A sedative (or sometimes in the US a purgative) drug surreptitiously slipped into someone's drink. ,Mickey Finn
A rhyme used to decide who starts a darts match. ,Middle for diddle
Something unadventurous or inoffensive; opting to go neither one way or the other.,Middle of the road
With might and main is 'with all of one's strength'. ,Might and main
Literal meaning.,(The pen is) mightier than the sword 
Great things may come from small beginnings.,Mighty oaks from little acorns grow
Care and compassion for others.,Milk of human kindness
"The English, being a restrained lot, have a long list of euphemistic phrases, many of which became
 part of the language beforeÂ it spread to other parts of the world. The root cause of these is a
 wish to communicate without being explicit. This isÂ something the English are particularly fond of,
 hence their long tradition of double-entendre comedy.",Minced oaths
"To mince words is to moderate one's language, to keep within the bounds of  what is prudent or polite. Minced words are usually referred to in the negative 'do not mince your words'.",Minced words
Be on your best behaviour; be careful of your language. ,Mind your Ps and Qs
One's aural memory or imagination.,Mind's ear
One's visual memory or imagination.,Mind's eye
"To minister is to serve, or act as a subordinate agent. So a ministering angel is a kind-hearted person, providing help and comfort.",Ministering angel shall my sister be - A 
A condition of perfection or newness suggestive of that of a freshly minted coin.,Mint condition
"From Shakespeare's The Tempest, 1610:",Misery acquaints a man with strange bedfellows
NO INFORMATION,Misquotes
A narrow miss is as bad as a wide miss - they are both misses. ,Miss is as good as a mile
"A
habitual grumbler.",Moaning Minnie
Mondegreens are misheard song lyrics. A fuller explanation of the meaning of the word mondegreen is best shown by retelling how it originated...,Mondegreens
The diarrhoea (spelled in America as diarrhea)  that is often suffered by tourists when travelling to foreign parts.,Montezuma's Revenge
"Money: after sex and the weather, this must be our favourite topic of conversation. Here's the phrases and sayings that we use to talk about it:",'Money' phrases
A profitable return for little effort. ,Money for old rope
"A disparaging description, often used to describe feminist or rowdy women by their detractors.",Monstrous regiment of women
"Complete, the whole thing.",Monty - The full
An irrelevant argument. ,Moot point
The condition of having a body weight high enough to pose a severe risk to health. This is informally measured as having a body weight which is more than twice the optimum. It is indicated more precisely by a 'body mass index' of 40 or over (BMI = the weight in kilograms divided by the square of height in metres).,Morbid obesity
More for your money.,More bang for your buck
Said in reply to someone who has reported doing something that is considered to be obviously foolish.,More fool you
"This proverbial saying suggest that, if you try and do something quickly you will make mistakes and take longer in the end.","More haste, less speed"
This is usually thought to mean a rule which is more often broken than observed. The context of the play shows the real meaning as 'it is more honourable to breach than to observe'.,More honoured in the breach than in the observance
NO INFORMATION,More light!
"Someone who functions better in the morning, as compared to later in the day. ",Morning person
"One's native land, or the native land of one's ancestors. ",Mother country
An assorted and ill-disciplined group of ne'er do wells. ,Motley crew
Delicious; tasty enough to make you salivate.,Mouth-watering
A feast day that falls on the same day of the week each year but which has a date which varies.,Movable feast
"People of energetic demeanour, who initiate change and influence events.",Movers and shakers
The phrase 'The moving finger writes...' expresses the notion that whatever one does in one's life is one's own responsibility and cannot be changed.,Moving finger writes - The 
Changing the target of a process or competition to by one side in order to gain advantage.,Moving the goalposts
'Much ado about nothing' means 'a great deal of fuss over a thing of little importance'.,Much Ado about Nothing
Similar - difficult to distinguish.,Much of a muchness
You are unpopular.,Mud - your name is
"To 'mull something over' is to turn it over in one's mind, in a reflective way.",Mull (something) over
A number of undesirable qualities.,Multitude of sins
"Nonsense, especially meaningless speech and often associated with spurious religious ritual. ",Mumbo jumbo
'Mum's the word' means 'keep quiet - say nothing'.,Mum's the word
"The so-called law is usually expressed as 'If anything can go wrong, it will'.",Murphy's Law
Literal meaning. That literal meaning is open to misinterpretation as this phrase is frequently written as 'music has charms to soothe the savage beast'.,Music has charms to soothe the savage breast
"Excellent
- the highest quality.",Mutt's nuts - The 
When written and pronounced as Mutt 'n' Jeff this has the meaning deaf. It is also a slang term for the 'good cop/bad cop' method of police interrogation or any other pair of people or items which are contrasting in size or nature. ,Mutt and Jeff
'Mutton dressed as lamb' is a put-down aimed at an ageing woman who is dressed or made up of someone much younger. ,Mutton dressed as lamb
My mistake - I'm to blame. ,My bad 
My husband or my wife. ,My better half 
Something or someone that one finds pleasing.,My cup of tea
'My cup runneth over' means 'I have more than enough for my needs'.,My cup runneth over
An exclamation of surprise. ,My giddy aunt
This turn of phrase has often been used by Queen Elizabeth II in public speeches. ,My husband and I
One's visual memory or imagination.,My mind's eye
Affectionate term for a friend.,My old china
An affectionate term for wife.,My old Dutch
"The
 days of one's youthful inexperience.",My salad days
A jocular exclamation or expression of astonishment. ,My stars and garters
"The idiom 'my way or the highway' forcefully expresses the view that 'you can take it or leave it'. In fact, it really means 'take it or leave', as the highway refers to the road the listener should go down if they don't agree with the speaker.",My way or the highway
"To defiantly display one's opinions and beliefs. Also, to show one's intention to hold on to those beliefs until the end.",Nail your colours to the mast
Childish and weakly sentimental. ,Namby-pamby
The publication of the identity of a person or group that is culpable in some anti-social act in order to shame them into remorse. ,Name and shame
You are unpopular.,Name is mud
"'Nasty, brutish and short' is a 17th century phrase describing the life of mankind when in a state of war. ","Nasty, brutish and short"
"This proverbial saying has a straightforward literal meaning, although it is intended to imply criticism of the English as a nation with little ambition.",Nation of shopkeepers - A 
Many phrases that have been adopted into everyday use originate from seafaring - in particular from the days of sail. Virtually all of these are metaphorical and the original nautical meanings are now forgotten. ,Nautical phrases
"Just at the limit of acceptability, especially regarding sexual morals",Near the knuckle 
Difficult situations inspire ingenious solutions.,Necessity is the mother of invention
"With most phrases and sayings the meaning is well understood but the origin is uncertain. With this one the main interest is the doubt about the meaning. So, this time, we'll have the origin first. ",Ne'er cast a clout till May be out
"A worthless, good for nothing person.",Ne'er do well
"Necessity compels. In current usage this phrase is usually used to express something that is done unwillingly but with an acceptance that it can't be avoided; for example, I really don't want to cook tonight, but needs must, I suppose.",Needs must 
Literal meaning.,Neither a borrower nor a lender be
"'Red herring' is a shortened form of the earlier expression  'neither fish, nor flesh, nor good red herring'. It describes something which is deliberately misleading or diverting  attention from the real issue. ","Neither fish nor flesh, nor good red herring"
Of no consequence either one way or the other.,Neither here nor there
"Savings, set aside for later use.",Nest-egg
"A group of iniquitous people, congregating together.",Nest of vipers - A 
"Literal meaning, but usually used for comic effect. ",Never give a sucker an even break
"The slogan
of the John Lewis Partnership from the 1920s.",Never knowingly undersold
The proverbial saying 'don't look a gift horse in the mouth' means don't be ungrateful when you receive a gift.,Never look a gift horse in the mouth
A utopian dreamland.,Never-never land
Two things which are so different as to have no opportunity to unite.,Never the twain shall meet
"Nevertheless, and its stable-mate nonetheless, which means much the same thing, take a little explaining...",Nevertheless
A new arrival in an area or in a group of young friends.,New kid on the block
"Neat, tidy, well-ordered. ",Nice as ninepence
"The expression  'a pretty kettle of fish' or 'a fine/nice kettle of fish'  means 'a muddle or awkward state of affairs'. It's the kind of situation that Oliver Hardy was referring to when he told Stan Laurel ""here's another nice mess you've got me into"".",Nice kettle of fish
,Nicholas Udall - phrases collected by
Just in time; at the precise moment.,(In the) nick of time 
A person who is active late at night. ,Night owl
A novelty that loses its appeal after a few days. ,Nine days' wonder
"A nip and tuck race  race or contest is one with close result. More recently, 'Nip and tuck' has been adopted as the name of a cosmetic surgery procedure. ",Nip and tuck
To nip something in the bud is to put a stop to it while it is still in its early development.,Nip in the bud
The heart of the matter; the basic essentials. The phrase is usually used in the extended form 'get down to the nitty-gritty'.,Nitty-gritty
Something that requires little mental effort or intelligence to perform or understand. The term is often applied to decisions which are straightorward or sometimes to people who appear to lack intelligence. ,No-brainer
The expression 'no dice' is a refusal to accept a proposition - equivalent to 'nothing doing'. ,No dice
Without restrictions or rules. ,No holds barred
Not a subject for levity. ,No laughing matter
'There's no love lost between them' is used to describe a relationship between two people who dislike each each.,No love lost
The phrase 'no man is an island' expresses the idea that human beings do badly when isolated from others and need to be part of a community in order to thrive. ,No man is an island
"Cakes and ale are synonymous with the good life, like beer and skittles.",No more cakes and ale?
Say nothing and avoid repercussions.,No names: no pack-drill
"Show no mercy or concession; in its original usage, show no mercy for a vanquished opponent. ",No quarter given
'No rest for the wicked has a literal meaning - that the wicked shall be tormented in Hell. ,No rest for the wicked
"An awkwardly small, confined space.",No room to swing a cat
To reject or to have nothing to do with.,No truck with
Absolutely not; never. ,"No way, Jose"
"'A nod is as good as a wink' expresses the idea that, to a person who is ready to understand or undertake something, any subtle signalling of it is sufficient. The context is usually of some undertaking that is borderline illegal or of sexual innuendo. ",Nod is as good as a wink - A 
The Land of Nod is a mythical  land where we travel to to sleep.,Nod - The land of
"In 1914 the Danish grammarian Otto Jespersen coined the term 'metanalysis'. That's rather a dry start to a piece on what is a lively and intriguing facet of the English language. To find out what prompted Jespersen to believe that we needed a new word, let's bring in a stage prop - the humble orange. ",Norange - A 
"A 'nosy parker', sometimes spelled 'nosey parker', is a person of an overly inquisitive or prying nature. ",Nosy parker
Not a sound; not an utterance.,Not a dicky-bird
"Not by any means; a good distance away from being true. It is used for emphasis when something a described as being far from its mark. For example, ""Â£100,000 isn't enough to buy a house in London - not by a long chalk"".",Not by a long chalk
"Not by any means; a good distance away from being true. It is used for emphasis when something a described as being far from its mark. For example, ""$100,000 isn't enough to buy a house in New York - not by a long shot"".",Not by a long shot
Something or someone that one finds pleasing.,Not my cup of tea
Not at any price.,Not for all the tea in China
'Not playing with a full deck' might be said about someone who was considered stupid.,Not playing with a full deck
It (the subject under discussion) isn't difficult to understand.,Not rocket science
This is the supposed response by Napoleon Bonaparte when declining sex with Empress JosÃ©phine.,Not tonight Josephine
Worthless.,Not worth a plugged nickel
Something might be considered to be 'not worth the candle' if is too insignificant or worthless to be worth bothering with.,Not worth the candle
A rather fatalistic and sardonic proverb. It draws on the actual inevitability of death to highlight the difficulty in avoiding the burden of taxes. ,Nothing is certain but death and taxes
"A proverb, expressing the idea that success breeds further success.",Nothing succeeds like success
"In order to achieve, you need to act and take risks.","Nothing ventured, nothing gained"
"'Tic-tac-toe' is the US name for a game  in which two players try to complete a row of either three noughts or three crosses, on  a grid of nine squares.",Noughts and crosses
'Now is the winter of our discontent' express the idea that we have reached the depth of our unhappiness and that better times are ahead.,Now is the winter of our discontent
To the utmost degree; without limit.,Nth degree 
"'No points' - the lowest possible score awarded to performers in the Eurovision Song Contest. The term is also sometimes used as a jokey judgement on any hopelessly inept performance. This is sometimes accompanied by the raising of imaginary cards showing zero, in a mock simulation of the scoring in ice-skating competitions. ",Nul points
In a few words; concisely stated.,Nutshell - In a
"The literal meaning of 'O Romeo, Romeo! wherefore art thou Romeo?' would appear to be 'Where are you Romeo?'. In fact, using the meaning of wherefore that would have been commonplace in Shakespeare's day, the playright suggested the meaning of 'For what reason are you Romeo?'.","O Romeo, Romeo! wherefore art thou Romeo?"
"This is the rebuke levelled at the disciples of Christ, when seeming to doubt his divinity. The phrase is also more widely used to describe any Christian doubter. In a secular setting it may be intended as a humorous jibe when doubting someone's abilities. ","O ye, of little faith"
God's body.,Odds bodkins
By an individual's own efforts. ,Off his own bat
Something said in confidence that the speaker doesn't want attributed to them.,Off the record
