company,slogan
"Dear Born Baby, store in Toronto",Growing with style.
Faced with a dilemma - perplexed and uncertain what to do.,In a quandary
"CanaBee Baby, stores in Ontario",All your baby needs.
The Tourism Authority of Thailand (TAT),Thailand. Happiness on Earth.
Silver Dale free range eggs in Australia,Silver Dale. As nature intended.
Cool artesian water from Crystal Falls Springs,Naturally perfect & perfectly natural. Cool!
"Meyra, German wheelchair manufacturer",Meyra. We move people.
"Tropical Rayz Tanning Spa in Markham, Ontario",Your ultimate tanning facility.
To be 'well read' is to be erudite and literate. ,Exceedingly well read
Farmers Insurance,We are Farmers.
"Direct Line Tele Response, answering & call center services",Your voice of excellence.
Tutoring Plus,At the heart of learning.
"Securiguard, full-service integrated security solutions company, Canada",We make people feel safe.
"Oral-B brand, electric and manual toothbrushes, dental hygiene products",Oral-B. Brush Like A Dentist.
"Robinsons, supermarket chain in Philippines",Robinsons. Eat well. Spend less.
Hive Swimwear Shop,Swimwear that sticks!
Puma Van Lines in Dallas,Big or small... We can handle it all.
"CMFC, Cape May Fitness Center",Success is not a gift. It's a choice.
Chiromedix,Moving you forward.
Avonmore fresh soup,Avonmore. The taste of homemade.
Tetley tea,A cup of Tetley and you’re ready for anything!
"Two Chicks, brand of liquid egg white and egg white omelette mix",Two Chicks. The whiter lighter egg.
"Cointreau, a premium spirit made from orange peels",Cointreau. Be cointreauversial.
The Scotsman newspaper,The Scotsman. It's thinking time.
"Bright Air, brand of air fresheners and odor eliminators",Products for positive living.
Lloyds TSB banking,You first
"Sasko flour, South Africa",Sasko. Makes your baking better tasting.
KOOL menthol cigarette brand,Kool. The House of Menthol
"Diesel Barbershops in San Antonio, Texas",Where it's good to be a man.
"Billy Tea, Australia",The choice of your dad’s dad’s dad.
A jocular exclamation or expression of astonishment. ,My stars and garters
Waiakea Hawaiian volcanic water,Waiakea. Premium by nature.
"The proverb 'A little knowledge is a dangerous thing' expresses the idea that a small amount of knowledge can mislead people into thinking that they are more expert than they really are, which can lead to mistakes being made.",A little knowledge is a dangerous thing
Beam Electrolux central vacuum systems,"Superior cleaning, healthier living."
The expression 'A young man's fancy' alludes to  light  thoughts of romantic love.,A young man's fancy
To sleep like a top is to sleep very soundly.,Sleep like a top
Becel margarine,Becel takes your life to heart.
"Buchwald Tax Firm, IRS tax resolution services, Coral Springs, Florida",Benefit from our experience.
Elements Interior Design Studio,Enhance your home... Enhance your life...
Empowered Health Clinic in Melbourne,Blending science with nature.
"Fallen Angel Bakery in Birmingham, offers cupcakes, cakes, pies & tarts",Any excuse for a treat. Any excuse to be a fallen angel.
Galleria Family Dental in Henderson,Gentle high quality dental care.
"Graylings, fish and chip shop in England",Freshly cooked everyday.
Florida Hospital,The skill to heal. The spirit to care.
"St. Ann's Hospice, Greater Manchester",Every day makes a difference.
Varieties of Brooke Bond tea,Brooke Bond Scottish Blend. More flavour than our old bag.
Pedigree brand,Biggest news since the bone.
Red Lobster seafood restaurants,Red Lobster. Life on Land is Dry
Something too highly regarded to be open to criticism or curtailment.,Sacred cow
Omega watch brand,The Watch The World Has Learned To Trust
"Coffee World, chain of premium coffee shops in Asia",Where the world meets.
The South African Library for the Blind,We are all on the same page.
Black & Decker power tools and accessories,Does it better.
Devondale Dairy Soft butter spreads,Spreads straight from the fridge.
"Biomax Wellness Centre, Australia","Get healthy, stay healthy."
"St. Pauli Girl brand, Germany",Germany's Fun-Loving Beer.
"Farmers department stores and home-centres, New Zealand",Where New Zealand goes for Christmas
"Black Flag, insecticide brand in the USA",The baddest Black Flag ever!
Active Therapeutic Solutions in Guelph,Live life. Be active.
"A literal meaning, advocating patience.",All things come to those who wait
"Kahlua brand, Mexican coffee liqueur",Kahlua. Enjoy your exotic moment responsibly.
The Ridge Campground in Mt. Morris,Where life is worth camping.
"The slogan
of the John Lewis Partnership from the 1920s.",Never knowingly undersold
Baby Lock sewing machines,For the love of sewing.
"Danone / Activia, yogurt with probiotic culture",Activia. Actively good.
Tetley tea,Sometimes you just need a Tetley.
"Invacare, brand of wheelchairs, mobility scooters and other medical equipment","Invacare. Yes, you can."
"An 'accident of birth' is the consequence of the circumstances into which a person is born. For example, a prince will probably have a different life to a pauper or an Inuit to a Kalahari bushman. The term may also be applied to some innate talent that a person has by virtue of the DNA they inherited from their parents. For example, ""LeBron James' success at basketball was, in part, due to the accident of birth of growing to 6 feet, 8 inches tall"".",Accident of birth
"Swatch, Swiss watch brand",Fashion that ticks
Lose face - Be humiliated; lose one's reputation.,Lose face
"Hair Studio 14, boutique hair salon in Occoquan, VA",Your hair at its best.
Moko Organic Beauty Studio in Philadelphia,Keeping organic cool.
"Why Wood Works, toy retailer in UK, specialising in eco-friendly, wooden toys",Toys that don't cost the earth.
"Shearer's Bookshop, Australia",Real bookshop with real book people.
If something is said to be the cat's pajamas it is excellent - the highest quality.,Cat's pajamas - The
Bank of America,Think what we can do for you
A goodly distance.,Keep a wide berth
A dish fit for the gods is an offering of high quality. ,A dish fit for the gods
Dove Clinical Protection,Protect your moments.
Bluebridge Cook Strait Ferry in New Zealand,How New Zealanders cross the strait.
To be alert; in command of one's senses. ,On the ball
"AnswerPhone, business call center and telephone answering service",People like talking with people. You'll love talking to us!
Hospice of Texarkana,Adding life to days.
Entirely or very brown; often referring to a suntanned skin. ,As brown as a berry
Cape Times newspaper,There's nothing more valuable than knowledge
Amul cheeses,Eat milk with every meal.
On the whole; generally speaking; all things considered.,By and large
Sweetbottoms Baby Boutique,Where 'green' comes naturally.
Literal meaning.,Imitation is the sincerest form of flattery
Exeter International Airport,Flying you further from closer to home.
Gosport Ferry,It's shorter by water.
Paul Bunyan Campground in Bangor,A country oasis within the city.
"Leatherman, brand of multi-tools, pocket tools and knives",Leatherman. Leave nothing undone.
Eukanuba pet food brand,The best you can do for your dog
"Youphoria, yoga classes and yoga teacher training in Foster",Inspiration for joyful living.
"Pet Food Express, pet food and supply retailer",Express your love for pets!
"The meaning most often attributed to 'a rose is a rose is a rose' is the notion that, when all is said and done, a thing is what it is. This is in similar vein to Shakespeare's 'a rose by any other name would smell as sweet'. However, that's not the interpretation given by the author of the phrase - see below. ",A rose is a rose is a rose
"British Lion Quality, mark on egg shells and egg boxes in England",Lion Quality. So very British.
Resource Leasing Company,Making technology affordable.
"Colman's, world-famous mustard brand","C'mon Colman's, light my fire"
A second self. , Alter ego
Meadowcliff Lodge & RV Resort,The jewel of California's Eastern Sierras.
"Queens Library, New York",Enrich your life.
A person who is widely admired.,Toast of the town
MB Wheels,Live the lifestyle.
"Branditory, professional business naming service",The right business name makes getting new customers easy!
"Nortlander, ski tour operator in Denmark",Even better this year.
"SIS International, market research & intelligence company",Navigate the global economy.
"Region Security Guarding Company, based in Wolverhampton",Providing you with the right solutions for all your security needs.
Durex Condoms,Durex. Crowdstopper.
Glenfiddich Scotch Whisky,Single source of inspiration
"A
complete surprise, like
a bolt of lightning from a clear blue sky - literally 'out of the blue'.",Out of  the blue
Liquid Salvation ultra hydrating water,Pure water for an impure world.
"London South Bank University, UK",Become what you want to be.
The Law School at University of Notre Dame,Educating a different kind of lawyer.
"Tea Forte, gourmet whole leaf teas",The exceptional tea experience.
"Tim Hortons, chain of donut and coffee shops",It's time for Tims.
Port of Palm Beach in Florida,Import. Export. Your port.
A complete and sudden surprise.,It came like a bolt from the blue
Heinz Big Soup,"It's big, chunky & tasty!"
Hospice of Kitsap County,Dignity. Compassion. Comfort.
Singapore Tourism Board,Live it up in Singapore!
"PLAVEB, full service web design company in Burbank",Web paradigm shift.
Transdev Brisbane Ferries,Mobility inspired by you.
Toys R Us toy stores,Make all their wishes come true!
"A harbinger of doom is a sign, a warning of bad things to come.",Harbinger of doom
Close the door.,Put the wood in the hole
Niagara purified drinking water,Taste the pure difference!
"Salon Sensational, hair & beauty salon in Sterling, VA",Treat yourself to great service.
Edinburgh Evening News newspaper,Evening News. Tomorrow's News Today.
Ameritex Guard Services,The right officer every time.
The Indonesian Ministry of Culture and Tourism,Indonesia. Ultimate in Diversity.
"Prim and proper, with a cool demeanour ",Butter wouldn't melt in his mouth
To 'pass the buck' is to evade responsibility by passing it on to someone else.,Pass the buck
Watsons distilled water in Hong Kong,Watsons. Purity assurance.
"Cuppers Coffee House in Prescott, Arizona",With enough coffee anything is possible.
"Dilmah Ceylon tea, Sri Lanka",The tea with more ahhhh.
The Physio Clinic in Prospect,For all things physio.
Southcentre Chinese Acupuncture in Calgary,Your health in good hands.
"Hunt's, tomato sauces, ketchups and other tomato products",Better tomatoes make better ketchup. Pick Hunt's.
"Originally 'white elephants' were simply that - elephants that were white. Later, the expression came to mean 'a burdensome possession - one that is  more trouble than it is worth'. More recently, the term has also been used to describe any doomed enterprise, on which large sums of money are spent and which is then abandoned.",White elephant
LotusRain Naturopathic Clinic,"Optimize your care, health and life."
'The life of Riley' is an easy and pleasant life.,The life of Riley
"Bluestar, inter-urban bus operator in Hampshire",A brighter way to go.
Powerade Sports Drink,The power of love.
"Piggly Wiggly, America's self-service grocery stores",It feels like home.
It (the subject under discussion) isn't difficult to understand.,It's not rocket science
Fougera Pharmaceuticals,Make no compromises.
The agent of ruin or woe.,The bane of my life
"Medical City Hospital in Dallas, Texas",Specialists. In life.
Dreamclinic in Seattle,Keep your health.
Poochies Parlour in Branford,Where every dog is special.
Hecox Dentistry,The experience you can count on.
Tutoring For Excellence,Maximising potential through individual attention.
Advanced Plastic Surgery Center in Prescott,Emerge to incredible possibilities.
"A large, possibly exorbitant, amount of money. ",Cost an arm and a leg 
AA Fitness Studio in Dumfries,Fitness has never been so much fun!
"If it's said to be 'cold enough to freeze the balls off a brass monkey' it is very
cold indeed. ",Brass monkey weather 
Acli-Mate Mountain Sport Drink,Go higher - feel better!
"A modern-day proverb, bemoaning the difficulty of finding a suitable male partner. ",A good man is hard to find
Children's Hospital Colorado,Kids need a kids hospital.
"David Jones, Australia's oldest department store",There's no other store like David Jones
A single instance of something is just that; it doesn't indicate a trend.,One swallow doesn't make a summer
"Winn-Dixie grocery stores, American supermarket chain",Fresh checked every day.
Tallahassee Memorial Hospital,Feel the difference.
"Stretch Limousine, Chicago limo services",Romance begins with limousine.
Vanguard Key Clubs,Resolve to live healthy.
Bel-Air Motel in Ontario,A pleasant place to stay.
"BPS group, business and personal security services in Russia",We protect your business.
"The View Grill & Bar in LaCrosse, Wisconsin",Great food! Great fun! Awesome view!
Freud Pro saw blades,Faster cleaner cut. Guaranteed.
Stanley Steemer Cleaning Services,Living brings it in. We take it out.
Nasha Canada newspaper (biweekly ethnic newspaper on Russian language),The newspaper for those who can read.
The Economist,More than just economics.
"Shelley Ortved, speech pathologist",Providing the tools to build better communication.
"Arizona Professional Painting, company in Phoenix",Painters with professional touch.
"Sunsation Tanning Salon in Sparks, Nevada",Who says you have to leave town for a beautiful tan?
An exclamation of surprise. ,Giddy aunt
"Dymocks, bookstore chain in Australia, New Zealand and Hong Kong",Dymocks. For booklovers.
Care and compassion for others.,Milk of human kindness
"'Which is which?' - often expressed as a question, asking for help in distinguishing two similar things or people. ",Which  witch is which?
"Burgen, a range of special healthy breads",Burgen. Harnessing the Power of Nature.
Barx of Mold Dog Grooming Salon,Professionalism & reliability in abundance.
Meltin' Pot jeans brand,Meltin'Pot. Share life.
"Rent-A-Car Canada, car rental service in Canada",The way renting should be!
Bo's Barbershop in Clarksville,Bo knows hair.
"Bi-Lo grocery stores, grocery chain operating supermarkets in USA",Bi-Lo. Real savings. Real fresh.
Arc Business Interiors,Creating inspirational office space.
"A ballpark figure is an estimate, within a reasonable range of accuracy.",Ballpark figure
Hardee's,Hardee's. Come on home.
"Medaglia d’Oro, espresso coffee",Don't just make coffee. Make good things happen.
"Manchester Arndale, large shopping centre in Manchester, England","Whatever you’ve got in mind, we’ve got inside."
"Gstaad, ski resort in Swiss Alps",Come up. Slow down.
A 'Bodice ripper' is a sexually suggestive romantic novel; usually in a historical setting and always with a plot involving the seduction of the heroine.,Bodice ripper
Petco,Where the healthy pets go.
"On the threshold; finely balanced between success and failure; for example, if a qualifying competition for an event allowed the top eight runners to proceed to the next round then those who were close to qualification and could get through by a small increase in performance would be said to be 'on the bubble'. ",On the bubble
Hospice of Cincinnati,Experience. Compassionate. Caring.
"Chase Security Systems, design & manufacture of products for safety",Designing products that protect.
"Supposedly said by Oscar Wilde at Customs Control in New York, 1882. ",I have nothing to declare but my genius
Venom Energy,Piercing energy that strikes back.
"National Jewish Health, respiratory hospital in Denver",Science transforming life.
Living well; fed by abundant crops. ,The fat of the land
"Olly Sorsby, freelance graphic designer in Wolverhampton",Digital craftsman.
"Nelspruit Hospice, South Africa",Because we care!
"Platinum Limousine Service, Maryland",Purely above the rest.
Miller Beer,"If you've got the time, we've got the beer. Miller Beer."
EMS Security Services,We guard. We protect. We secure.
Nestle / Cheerios breakfast cereals,Cheerios. Smiles all round.
"Barron's, America's premier financial weekly",How Money Becomes Wealth.
Something given in return for a item of equivalent value - like tit for tat.,Quid pro quo
"IQ Toys, online toy store, Australia, New Zealand",IQ Toys. We bring the toy store to you!
"Canvas Holidays, tour operator for package camping holidays, UK",Europe's camping connoisseurs.
"Lismore's Living Library, Australia",Don't judge a book by its cover.
"Petmania, shops in Ireland",Passionate about pets.
"Frontier Soups, dry soup mixes",Soup so good... you'll call it dinner!
"Teadirect, tea brand in the UK",A decent cup of tea.
"Pathfinder Tours, train tours operator, UK","Railtrips to here, there and everywhere!"
A 'sorry sight' is a regrettable and unwelcome  feature. Now also used to mean something or someone of untidy appearance. ,A sorry sight
"Sisters Nail Salon in Fond du Lac, WI",It's more than just a nail appointment!
Oak Brook Racquet and Fitness Club,Play. Train. Relax.
Target Stores,Target. Expect More. Pay Less
In low spirits; feeling dull and drowsy.,In the doldrums
Literal meaning.,Take care of the pence and the pounds will take care of themselves
Revlon / Luxurious Lengths mascara,Take your lashes to Luxurious Lengths.
Nescafe Alta Rica coffee,"For people who truly, madly, deeply love coffee."
"Mothercare stores, products for expectant mothers and children",Give me Mothercare.
Clarion Communications,Real people. Real PR. Real results.
"Excel Pilates Studio in Washington, DC",Empower your body. Empower your mind.
Roused; incensed., Up in arms
Penske Truck Rental,Dedication at every turn.
"KiDDS Dental, pediatric dental and oral care in Spokane",Grow up with smiling!
Always sanitary towels,Have a happy period. Always.
"The Gentle Dentist, practice in Worthington",Exceptional service. Remarkably gentle.
Citi Double Cash,Double means double.
South Delta Physiotherapy Clinic,We are your neighbourhood body specialists.
Nescafe Gold Blend,Awaken your senses.
Aquafresh Flex,For gentle dental care.
"The
victim of a trick played on April 1st, or the trick itself. ",April fool
Barclays bank,Barclays. Fluent in finance
"Jantzen, swimming suits and beach wear",Keep our beaches beautiful.
Burlington eye center,Your vision. Our focus.
"'Without let or hindrance' means freely, without any impediment.",Without let or hindrance 
"To thwart someone's efforts or cause them to have bad luck. Also, to have the mockers on - to be cursed with bad luck.",Put the mockers on
"Hammicks Legal Bookshops, UK",Always full of inspiration.
Northeast Texas Community College,Start here. Go anywhere!
MPH Bookstores in Malaysia,Where the bookstore comes to you. (for online store)
"Mothercare stores, products for expectant mothers and children",Mothercare. Mom's little secret.
Commonwealth Bank of Australia,Commonwealth. Make it happen
'Two peas in a pod' are two identical items or people.,As alike as two peas in a pod 
To have your work cut out is to be faced with a lengthy or difficult task.,Have your work cut out 
Yamamoto Ad Agency in Minneapolis,Inspired ideas that sell.
An absent-minded professor is  someone (usually male) who is habitually inattentive or forgetful and distracted  to the extent of being unaware of his immediate surroundings. ,Absent-minded professor
Crystal Mountain Resort,It's closer than you think.
"Holy Cross Hospital in Silver Spring, Maryland",A new generation of medicine.
A&W Root Beer,That frosty mug sensation.
Coors beer,This is our Beer
"Kelley School of Business at Indiana University, full-time MBA",You are ready.
Great Ormond Street Hospital for Children,The child first and always.
Competing against someone who you are no match for.,Punching above your weight
Red Finn Coffee Company,Finely finnished coffee.
Glade Touch'n Fresh Minispray,Breathing life into your home.
"Michelob Ultra, a low-carbohydrate beer brand",Lose the carbs. Not the taste.
Associated British Ports,Keeping Britain trading.
"Nestle Aquarel, natural spring water",Share life. Share Nestle Aquarel.
"Uomo Modern Barber, barbershop in Victoria, Canada",Where tradition meets trend.
"Top of the Hill Bakery in Orleans, Canada",Made fresh for you.
"The Sun, a British tabloid newspaper",The Sun. We love it!
The University of Mississippi School of Law,An education that works.
"Bulova, watch and clock company",Keeping America's Time For Generations.
Oldsmobile car brand,Start Something.
"McKenzie Mist, bottled artesian water with delivery",Straight from the heart of the mountain!
Yuva Cosmetic Surgery Center in Vadodara,Holding back the years.
"H.I.S. jeans brand, Germany",HIS Denim. Made for Pleasure.
Paramount Health & Fitness Club near Melbourne,A better life for all of us.
"Call Connect India, call center and BPO services in Delhi",Keeping you always connected!
Bear Creek Naturopathic Clinic,Your path towards health.
"Tammy's Baby Shoppe in Manteca, California",Where we baby our customers.
"SpaLady, women's only fitness clubs",The fitness leader.
Loleta Cheese Factory,Cheese... The way Mother Earth intended it to be.
A scapegoat. One who is singled out for blame or punishment. ,Whipping boy
"Adorned Precision Body Arts, piercing and tattooing in Vancouver",Ancient adornments for a modern era.
To put your oar in is to interfere or get involved in an unwelcome way.,Stick your oar in
Nonsense; gibberish - a language one cannot understand.,Double Dutch
"Gedeon Richter, biotechnology and pharmaceutical company in Hungary",Delivering quality therapy through generations.
Hildon natural mineral water,Hildon. Part of your life.
Colgate Max Fresh,Packed to the max with freshness.
"The Spectator, weekly magazine, political and current events",The Spectator. Champagne for the brain.
Therapeutic Massage Center at Kingsdale,Reaching wellness together.
Sikanni River Campground & RV Park,Truly a camper's paradise.
Samra Plastic Surgery in New Jersey,Beauty is our practice.
"Bronze Tanning Salon in Pooler, GA",Look great all year round!
"Get Serious Fitness, classes in Lethbridge",Discover your potential!
NO INFORMATION,Let not poor Nelly starve
"Pilates Plus of Schaumburg, fitness studio",Where fun & fitness meet!
"Crescent, major shopping centre in Limerick, Ireland",Putting the customer first.
LivingWell Health Clubs,Changing the face of health clubs.
The misheard lyric that was the source of the generic term for misheard lyrics - mondegreens. ,"Oh, they have slain the Earl of Moray and Lady Mondegreen"
"U-Drive, van, truck and self-drive car rental company",The best solution in vehicle hire.
"Cote d'Or, Belgian chocolate",Cote d'Or. Aphrodisiac.
Very easy.,As easy as pie 
Volkswagen Golf car,Volkswagen Golf. One of the greatest pleasures you can have.
To begin listening attentively.,Prick up your ears
"This was a graffito, of unknown origin but used predominantly by members of the US and UK military and predominantly during WWII. It was often combined with an earlier cartoon image, known as Chad, although the two aren't related apart from that conjunction. ",Kilroy was here
Chelbus Cleaning Company,Your building deserves the best.
Central City Physiotherapy in Perth,Faster recovery & lasting results.
"A proverb, expressing the idea that success breeds further success.",Nothing succeeds like success
Campbell's Chunky soup,Fill up on the good stuff.
"Automation Co, digital and offset printing in Los Angeles",One. Two. Three. Done.
"The Book People, mail order books",Get caught reading.
"Traffic Advertising, automotive ad agency",Driving profits to your door.
A symbol of honour and achievement.,A feather in one's cap
Physio First Physiotherapy Clinic,Your first choice in physiotherapy.
"Kidmans Hair Studio in Redcliffe, Australia",Creating your perfect image.
Amica Mutual Insurance Company,Helpfulness insured.
Fanta brand,"Drink Fanta, stay Bamboocha."
Haagen Dazs Gelato desserts,Even the names taste good.
Pfizer Pharmaceutical Company,Pfizer. Life is our life's work.
RSI Roofing & Solar in San Diego,When you think roofing... think RSI.
Davcon Relocation Services,We move your life.
"Stanley, brand of hand tools and household hardware",Stanley. Make something great.
"PATLive, automated and live telephone answering services",Professionally answered telephones.
A tournament in which each contestant plays each of the others.,Round Robin
Pantene Pro-V Shampoo,Hair so healthy it shines.
Toyota Prius hybrid car,Prius. Mean but green.
"National Express, British public transport company",You're better off with National Express.
Oracle,Enabling the Information Age.
Wood Street Veterinary Hospital,"Care, compassion and commitment."
Vision Express Opticians in England,Experts with vision.
"ABsolute Fitness and Personal Training in New Hamburg, Canada",Our goal is to help you reach yours.
To 'pop your clogs' is to die.,Pop your clogs
"Spirit Lake Casino & Hotel, North Dakota",Catch the winning spirit!
Balance Acupuncture Center in Boonton,Health in harmony... Life in harmony.
"Scottish Citylink, express coach services",Always moving people.
"Tutoring Club, education centers for students",A class above. Guaranteed.
Area Fitness in Toronto,Throw away all your excuses.
"In difficulty, faced with two dangerous alternatives.",Devil and the deep blue sea 
"Amazing Interiors, Auckland",Transforming spaces into living concepts.
Acura cars (the Honda Motor's brand),Acura. Precision Crafted Performance.
Ocala Website Designs,Websites you can manage.
"Alpenhain, cheese and cheese products in Germany",We make the most out of cheese.
An individual's opinion.,Two cents worth
The Clansman Motel in Glen Innes,Where we have your best interests at heart.
"KFC, Kentucky Fried Chicken, fast food restaurants",Life tastes better with KFC.
Boyne Mountain Resort,What are you up for?
"Melitta, German brand of coffee, coffee filter paper and coffee makers",The flavor of Europe in every cup.
Southmount/Halton Physiotherapy Centres,Keeping you in action.
Rockwell power tools,Powered by tradition.
"Not by any means; a good distance away from being true. It is used for emphasis when something a described as being far from its mark. For example, ""Â£100,000 isn't enough to buy a house in London - not by a long chalk"".",Not by a long chalk
"Red Lounge, graphic design agency in Sydney",Simply small. Brilliantly big.
All things are a potential source of profit or advantage.,It's all grist to the mill
Dr. Dan Foresto Family & Cosmetic Dentistry,Get the smile you've always wanted!
"Brand Institute, pharmaceutical branding agency",Where great brands begin!
ACT Kids Mouthwash,Kids love it. Cavities don't.
Mentadent Toothpaste,The toothpaste for teeth people.
"Sutton Tools, industrial cutting tools including drills, end mills, reamers",World class cutting tools.
"Marble Slab Creamery, ice cream and dessert stores",The freshest ice cream on earth.
Zephyrhills spring water in the United States,Pure water from a pure place.
"Tasman Bay Backpackers in Nelson, NZ",Its the small things that make us different.
Jackson Limousine Service in Los Angeles,Where you're made to feel like a star!
Engage with the basic facts or realities.,Brass tacks - get down to 
"Douglas Green Wines, South Africa",Douglas Green. Cape wine at its best.
Barclays bank,It's our business to know your business
"King's College in Kathmandu, Nepal",Architecting future.
"Enigmas Hair Studio in Passaic Park, NJ",Changing the world one person at a time.
Macanudo brand,Macanudo. An American passion.
"Yellow Cabs, taxi in Adelaide",Adelaide's premium taxi fleet.
Allan Cunningham Motel in Toowoomba,Friendly service with a smile.
"Cars on Demand, provider of corporate limo services in Australia",Keep business moving.
The English dictum that a man's home is his refuge. ,An Englishman's home is his castle
"Academic Advantage, home tutoring services",The trusted name for specialized tutoring.
Clear Scalp & Hair,Feed scalp. Feed beauty.
To be 'as snug as a bug in a rug' is to be very comfortable and cosy.,As snug as a bug in a rug
"To 'take (or pull, or bring) down a peg (or two)' is to lower someone's high opinion of themselves.",Take down a peg or two
Joseph Farms cheese,Joseph Farms. California natural cheese.
"To divulge a secret, especially to do so inadvertently or maliciously. ",Spill the beans
"Magnolia Park, shopping center in Greenville, South Carolina",Reflecting a finer aesthetic.
Arrive at a final decisive contest.,Meet your Waterloo
Microsoft,Your Potential. Our Passion.
Nescafe Cap Colombie coffee,Seduction by Nescafe.
"Arvid Nordquist Classic, ground coffee, Sweden",Imagine what a bit of Classic can do.
Southland Printing Company,Artisans in manufacturing.
Dental Clinic of Marshfield,Our smiles speak for themselves.
"Avas Flowers, flower delivery services",Better flowers. Lower prices.
Milka Chocolate,Tenderness is inside.
"VCS, Value Chain Solutions in Ahmedabad",Catalyzing business growth.
"Egg Beaters products, egg whites separated from yolks and fortified with vitamins",The real thing. Only better.
"Daily's, chain of convenience stores, Tennessee",Achieve. Inspire. Live. Daily.
"Eyebridge, website designing and development company in India",Creative alternative solutions.
"Weiner Design, full service web and graphic design studio",Refreshing design made easy.
"Forbes, business and financial news",Forbes. Capitalist Tool.
"Tutor-ads.com, online tutor classifieds",Where students meet tutors.
Jack in the Box Fast Food,Eat it. Any time.
"A reference to homosexual love, although Oscar Wilde
 denied this in his defense of the charge of gross indecency.",The love that dare not speak its name
Richmond Tweed Regional Library,Connect. Discover. Escape.
"Klein Tools, brand of hand tools",For professionals… Since 1857.
"A person who holds stubbornly to a minority view, in defiance of the circumstances.",Die-hard
"CKO Kickboxing, health fitness and kickboxing gyms",Take back your body.
Ladders Marketing Agency,The agency that steps into your customer's shoes.
"Creative Mode, web design company in Brisbane",Building your success online.
"Toronto Star, major Canadian newspaper",Toronto Star. It's where you live.
"Bolla, Italian wine brand",Bolla. Open up
Get out of bed and prepare for work.,Rise and shine
Roofing by Obie LLC,Your roof is in good hands.
"Floyd's Hair Styling for Men, barber shop in Victoria","If you don't look good, we don't look good."
"To let the cat out of the bag is to disclose a secret, either deliberately or inadvertently.",Cat out of the bag - Let the 
"Aircoach, airport express coach services in Ireland",The fastest way to get to the city centre.
"P and P Communications, South Africa",The b2b agency with a digital edge.
Northern Dental Care,"Creating beautiful, healthy smiles."
"Encore Pilates, classes in Gainesville","Exercise smarter, not harder."
Spence Chiropractic Center in San Diego,Obtaining optimal health naturally.
"Herbal Essences, brand of shampoo and hair care products",A totally organic experience.
"Alpine Answers, online travel agency, booking service for ski holidays",No one knows ski holidays like us!
John Smith's bitter,John Smith's. No Nonsense.
"Marstudio, graphic design agency in Rockville",Marketing redefined.
"Kericho Gold, Kenyan tea",A matter of good taste.
"Courier News, Bridgewater, New Jersey, USA",Local News. First in the Morning.
The agent of ruin or woe.,Bane of your life
"Methodist Hospital in Henderson, Kentucky",The name for healthcare.
Daniel's Moving & Storage,"Let's go, together."
"Crunch, marketing consultants in Perth",Analyse. Integrate. Results.
Broadbeach Dental Practice,"For happy, healthy smiles."
Aquafresh Max Active,Three toothbrushes in one for whole mouth protection.
Demonstrate your true character. ,Test your mettle - see show your mettle
The Ideal Marketing Company in England,We would like to help you grow your business.
Not a sound; not an utterance.,Not a dicky-bird
Little Debbie snack cakes,Unwrap a smile.
Vault Energy Drink,"Vault. Get it done, and then some."
Trenz Hair Studio in Thunder Bay,You deserve the best.
"The Medical City, tertiary care hospital, Philippines",Where patients are partners.
"AnswerPhone, business call center and telephone answering service",We want to be the voice of your company.
"Sweet Dreams Limousine, company in Prince George",Any time is limo time!
"UCLA Catering, catering and event planning services in Los Angeles",We make events happen!
"Ringtread, brand of materials and equipment for tire retreading",Ringtread. The all-around best.
Dalespets Grooming Salon,Where your pet is our priority.
"Hotel Sogo, Philippines",So clean... So good!
"To stiffen the sinews is to, by one's own efforts, become resolute and purposeful. The sinews are the fibrous cords that connect bone to muscle - we stiffen them when we prepare for action.",Stiffen the sinews
Hacienda RV & Rally Resort in New Mexico,Where friends come together!
"SHS Sales & Marketing, company in the UK",Where great brands grow.
Toyota car brand,Your new experience of motoring.
Signal Toothpaste,Bringing mouths to life.
Something that is insignificant or worthless.,Tinker's damn
The Land of Nod is a mythical  land where we travel to to sleep.,Land of nod - The
"ACE Rent A Car, network of independent car rental companies",Your source for car rental reservations.
To fully judge how effective something is you need to use it for its intended purpose.,The proof of the pudding is in the eating 
Fleischmann's margarine and spreads,Because you have an appetite for life.
"AirTight Design, web design company in Atlanta",Powerful websites for growing companies.
At Home Speech Therapy in Greater Vancouver,Open doors to communication.
Park Motel in Hope,The quietest motel in Hope BC.
"Zachary Taylor, freelance web developer and designer in New York",I build things in the pixel aether.
"One's native land, or the native land of one's ancestors. ",Mother country
"Schlee Chiropractic in Albany, California",Inner peace leads to world peace!
"Circle K, international chain of convenience stores",Only at Circle K.
Dickies Workwear,Dickies. A legend in work.
"Port of Colombo, Sri Lanka",Your port of profit in Asia.
"Planet Rail, luxury train holidays to Europe",Tailor-made holidays that don't cost the earth.
"Sunsilk, hair care brand",Make your hair happen.
"BK Rent a Car, car rental company in Balearic Islands, Spain",Very close to you.
Southbridge Dentistry in Littleton,The cure for dental anxiety. The home of radiant smiles.
"Reinast, luxury titanium toothbrush",The one and only.
"'Cotton-picking' ia an intensifier, used as a general term of disapproval. A substitute for the word 'damned'.",Cotton-picking
